nome,distancia_km,ganho_elevacao_m,perda_elevacao_m,elevacao_min_m,elevacao_max_m,desnivel_total_m,dificuldade,terreno,cidade,tipo,arquivo
Corrida da Aeronáutica - Lagoa Santa ,6.54,8,8,741,744,15,Facil,Asfalto/Urbano,Lagoa Santa/MG,running,17.gpx
Corrida matinal,10.18,45,46,741,761,91,Moderada,Asfalto/Urbano,Lagoa Santa/MG,running,4.gpx
12 Km Bras Leme x Rude x Rio Branco,12.27,69,98,727,762,167,Moderada,Asfalto/Urbano,Sao Paulo/SP,running,36.gpx
Ressaquinha -> Barroso,13.56,293,294,1111,1221,588,Moderada,Asfalto/Urbano,Barbacena/MG,running,18.gpx
Minas Racer 2024,14.73,658,656,703,895,1313,Dificil,Trail,Lagoa Santa/MG,trail_running,7.gpx
Rua Carlos Dias Ribeiro-LGT-025-LGT-302,14.94,450,450,788,879,899,Dificil,Trail,Lagoa Santa/MG,trail_running,11.gpx
XCO - carrapatos ,15.0,496,497,702,894,993,Dificil,Trail,Lagoa Santa/MG,trail_running,19.gpx
Trail intervalado - Quintal de casa,15.68,325,325,740,824,650,Dificil,Trail,Lagoa Santa/MG,trail_running,3.gpx
Versalhes x Topo do Mundo,16.49,597,586,690,952,1183,Dificil,Trail,Lagoa Santa/MG,trail_running,8.gpx
CaiBotas OFICIAL,17.05,1020,1020,758,1412,2040,Muito Dificil,Asfalto/Urbano,Regiao de Caete/MG,running,6.gpx
Trail run matinal,20.21,749,736,661,952,1485,Muito Dificil,Trail,Lagoa Santa/MG,trail_running,1.gpx
25KM COM 800,25.82,800,774,667,894,1575,Muito Dificil,Trail,Lagoa Santa/MG,trail_running,12.gpx
WTR Nova Lima 2024 - Percurso Long 28km,27.71,1056,1056,1086,1503,2113,Extrema,Trail,Nova Lima/MG,trail_running,2.gpx
35km LA MISION BRASIL 2025,35.74,2760,2758,920,2204,5518,Extrema,Trail,Serra da Mantiqueira/RJ-SP,trail_running,20.gpx
